CDS_ID	Low_A	Low_B	High_A	High_B
CDS_2383	3	0	438	73
CDS_4184	64	11	0	0
CDS_6601	15	4	0	9
CDS_6904	1074	644	917	690
CDS_7927	4	144	18	12
CDS_15355	284	318	51	89
CDS_20388	608	668	129	153
CDS_27317	5	17	0	28
CDS_28933	127	99	168	4
CDS_29112	92	118	114	27
CDS_30066	14	3	9	11
CDS_31322	0	2	4	0
CDS_35061	20	19	39	23
CDS_39201	10	9	0	0
CDS_41643	957	438	624	516
CDS_43716	100	134	135	37
CDS_48631	31	7	0	13
CDS_54908	12	26	0	9
CDS_59605	507	299	187	216
CDS_59910	385	91	97	135
CDS_61980	3105	3315	4013	1259
CDS_74987	42	13	8	0
CDS_75979	31	39	6	26
CDS_79134	0	0	1	8
CDS_2	0	0	10	0
CDS_4	0	0	14	0
CDS_8	25	13	4	9
CDS_12	12	31	40	15
CDS_13	0	3	0	0
CDS_14	16	21	2	46
CDS_15	5	0	15	0
CDS_22	136	191	107	50
CDS_23	14	8	0	0
CDS_25	194	45	20	14
CDS_28	0	4	0	6
CDS_30	42	27	18	8
CDS_32	880	511	264	261
CDS_33	2427	2086	762	559
CDS_34	4432	2717	1207	950
CDS_37	1476	1122	821	609
CDS_42	3806	1458	648	484
CDS_47	18	61	26	19
CDS_48	760	722	168	207
CDS_49	1238	748	296	122
CDS_54	867	899	591	371
CDS_55	1787	1390	593	338
CDS_56	837	716	265	378
CDS_61	34	142	187	412
CDS_65	1004	651	405	340
CDS_66	61	40	24	12
CDS_73	87	56	50	30
CDS_75	0	0	11	0
CDS_76	107	84	44	40
CDS_80	102	38	17	6
CDS_81	0	0	18	1
CDS_93	21	3	0	0
CDS_95	29	25	9	0
CDS_96	0	5	0	15
CDS_97	0	1	10	0
CDS_100	21	12	24	0
CDS_102	29	6	17	1
CDS_104	3	0	121	22
CDS_107	46	32	29	14
CDS_111	0	0	10	0
CDS_119	4	17	0	0
CDS_120	0	0	13	0
CDS_121	1	0	10	1
CDS_122	0	1	0	12
CDS_126	97	78	20	38
CDS_130	0	0	0	43
CDS_132	224	88	33	15
CDS_134	265	149	35	37
CDS_135	701	418	382	340
CDS_136	0	0	15	0
CDS_137	3	0	73	0
CDS_139	0	0	26	0
CDS_141	30	35	9	19
CDS_142	0	0	7	0
CDS_144	14	15	8	32
CDS_149	30	62	25	55
CDS_153	27	39	39	25
CDS_155	13	6	5	17
CDS_156	95	57	58	63
CDS_157	40	48	11	0
CDS_158	0	0	24	0
CDS_160	0	0	13	0
CDS_161	0	0	9	0
CDS_162	11	24	0	0
CDS_163	12	5	12	10
CDS_164	30	18	17	10
CDS_166	9	62	66	43
CDS_167	0	3	16	9
CDS_168	44	2	8	12
CDS_169	0	0	0	9
CDS_182	84	24	9	15
CDS_185	15	0	13	0
CDS_187	18	7	0	0
CDS_198	402	200	47	59
CDS_201	0	4	0	0
CDS_205	0	0	9	0
CDS_207	277	195	117	94
CDS_210	0	0	24	5
CDS_213	0	0	30	9
CDS_217	0	2	0	0
CDS_219	64	17	13	0
CDS_227	25	72	1	15
CDS_235	0	0	12	0
CDS_240	0	0	7	0
CDS_242	32	5	0	0
CDS_243	64	35	16	27
CDS_246	8	1	0	0
CDS_252	36	13	20	0
CDS_254	3	5	4	16
CDS_255	0	0	14	0
CDS_261	10	22	20	0
CDS_263	19	14	0	0
CDS_276	127	100	118	41
CDS_280	2	3	3	40
CDS_283	12	17	2	5
CDS_286	3	0	23	0
CDS_290	69	50	31	32
CDS_293	69	26	89	68
CDS_297	0	11	5	10
CDS_302	21	9	0	0
CDS_307	12	1	0	0
CDS_308	9	13	5	0
CDS_312	161	127	92	71
CDS_313	1	1	6	0
CDS_314	1	6	0	0
CDS_317	8	10	24	18
CDS_320	0	0	6	0
CDS_324	42	8	0	25
CDS_328	0	0	25	0
CDS_332	8	8	32	0
CDS_334	0	0	7	0
CDS_338	244	37	0	4
CDS_343	0	4	0	0
CDS_351	7	3	14	0
CDS_357	30	15	8	12
CDS_359	161	55	0	6
CDS_361	8	1	0	8
CDS_362	3	7	14	0
CDS_363	45	20	21	9
CDS_365	30	17	14	14
CDS_371	0	0	29	0
CDS_372	16	9	8	0
CDS_376	4	5	0	0
CDS_387	46	50	23	10
CDS_389	21	7	11	15
CDS_395	7	7	0	23
CDS_398	5	1	0	0
CDS_399	10	8	18	7
CDS_401	0	8	25	0
CDS_404	97	59	11	10
CDS_407	18	5	0	0
CDS_408	0	0	11	0
CDS_416	9	0	0	0
CDS_417	27	15	0	0
CDS_419	6	7	26	4
CDS_423	30	16	5	8
CDS_428	59	17	7	35
CDS_439	13	4	0	8
CDS_440	78	58	23	27
CDS_448	14	3	0	0
CDS_450	4	2	8	0
CDS_453	0	0	8	11
CDS_455	31	22	15	11
CDS_457	2	0	0	2
CDS_459	5	0	5	13
CDS_460	16	19	18	6
CDS_468	69	46	26	17
CDS_470	16	24	18	12
CDS_471	49	20	24	4
CDS_472	101	26	0	0
CDS_473	284	76	17	0
CDS_474	10	7	0	0
CDS_480	1121	668	82	129
CDS_482	35	46	71	13
CDS_486	0	0	0	5
CDS_487	7	0	6	7
CDS_489	28	7	0	0
CDS_495	0	0	11	0
CDS_502	15	4	0	5
CDS_504	0	0	13	0
CDS_505	4	1	17	0
CDS_509	8	3	11	0
CDS_510	10	5	0	12
CDS_511	8	4	12	0
CDS_525	1	6	0	1
CDS_528	18	23	7	0
CDS_537	16	33	20	32
CDS_543	10	2	4	0
CDS_547	27	22	0	10
CDS_549	18	20	49	23
CDS_551	0	1	0	6
CDS_552	0	0	4	0
CDS_558	31	10	0	9
CDS_559	34	2	0	0
CDS_565	1	167	2	0
CDS_566	2	0	6	0
CDS_570	0	6	0	0
CDS_572	1	2	8	3
CDS_574	14	5	11	9
CDS_577	792	446	174	125
CDS_578	456	257	58	133
CDS_579	140	65	77	47
CDS_588	1927	938	501	306
CDS_589	104	56	48	54
CDS_590	305	231	284	314
CDS_593	208	110	105	54
CDS_595	355	255	89	61
CDS_596	140	101	48	47
CDS_600	3	12	0	0
CDS_601	510	335	395	183
CDS_607	1	1	220	38
CDS_610	397	292	140	78
CDS_611	762	478	187	135
CDS_612	179	112	57	48
CDS_615	954	437	390	275
CDS_616	555	438	149	125
CDS_619	801	468	299	268
CDS_620	80	56	52	9
CDS_621	19	13	0	0
CDS_627	1597	1105	346	277
CDS_628	113	95	60	39
CDS_629	278	183	88	70
CDS_630	82	63	56	43
CDS_641	65	145	220	297
CDS_642	23	120	132	193
CDS_643	68	162	195	201
CDS_644	780	548	317	229
CDS_645	14	8	6	16
CDS_646	123	32	41	22
CDS_647	888	517	298	248
CDS_650	528	211	170	123
CDS_651	7	20	3	20
CDS_652	396	230	155	176
CDS_658	0	6	0	5
CDS_659	3	9	1	26
CDS_660	7	22	26	17
CDS_661	10	22	18	7
CDS_662	1	6	0	33
CDS_663	21	43	12	21
CDS_664	47	147	112	210
CDS_665	18	57	44	32
CDS_666	834	661	430	182
CDS_667	143	82	49	37
CDS_668	440	292	181	95
CDS_669	297	165	131	94
CDS_670	447	186	86	91
CDS_671	673	294	176	149
CDS_680	1	0	89	48
CDS_681	558	236	127	133
CDS_682	104	66	6	16
CDS_685	1294	725	284	393
CDS_686	1693	852	251	258
CDS_687	806	484	186	116
CDS_689	28	25	14	22
CDS_690	344	367	211	183
CDS_697	0	2	97	0
CDS_708	0	8	0	0
CDS_713	0	3	0	13
CDS_719	8	21	19	8
CDS_727	34	19	36	15
CDS_728	186	76	50	64
CDS_729	40	32	18	6
CDS_733	21	14	0	4
CDS_734	7	5	0	2
CDS_735	7	1	0	12
CDS_736	1	1	0	16
CDS_743	1	0	28	0
CDS_745	5	15	0	0
CDS_747	0	0	3	0
CDS_748	0	2	91	17
CDS_752	9	0	9	0
CDS_753	2	4	0	0
CDS_755	0	0	7	0
CDS_756	73	32	6	71
CDS_757	0	0	19	2
CDS_758	1	14	9	5
CDS_760	9	8	29	21
CDS_763	4	5	0	0
CDS_764	29	5	31	6
CDS_768	0	0	19	0
CDS_771	11	19	0	20
CDS_777	69	54	50	21
CDS_780	1	7	0	23
CDS_783	0	5	0	0
CDS_785	274	100	161	137
CDS_789	22	16	13	0
CDS_791	12	20	0	0
CDS_792	44	48	14	15
CDS_794	14	13	0	7
CDS_796	0	0	39	4
CDS_799	286	154	59	58
CDS_803	9	716	114	16
CDS_804	3	4	0	0
CDS_809	70	64	14	24
CDS_811	14	6	0	0
CDS_816	296	175	79	46
CDS_820	0	5	7	11
CDS_821	2	3	36	29
CDS_823	64	38	8	36
CDS_824	3	9	0	0
CDS_825	42	25	29	6
CDS_831	3	1	9	0
CDS_834	39	30	0	0
CDS_839	13	10	8	7
CDS_843	282	252	87	58
CDS_845	8	19	19	10
CDS_846	26	3	0	0
CDS_850	0	0	57	37
CDS_853	37	12	21	9
CDS_857	195	148	44	2
CDS_861	15	10	0	0
CDS_863	112	32	35	22
CDS_865	2	7	13	34
CDS_867	4	1	7	0
CDS_872	1	1	25	0
CDS_875	0	0	6	0
CDS_878	14	3	2	0
CDS_879	8	1	0	0
CDS_880	61	40	186	115
CDS_883	28	18	0	0
CDS_886	60	67	7	1
CDS_891	0	0	5	0
CDS_897	62	41	27	22
CDS_898	0	0	23	9
CDS_899	65	50	32	20
CDS_903	377	219	52	65
CDS_906	14	1	9	0
CDS_914	90	67	52	6
CDS_917	5	7	0	0
CDS_918	38	23	16	15
CDS_931	24	27	19	0
CDS_933	158	103	135	44
CDS_937	137	88	69	1
CDS_941	431	243	59	52
CDS_946	12	4	0	16
CDS_948	85	33	13	11
CDS_949	57	31	47	0
CDS_958	0	1	16	0
CDS_959	81	43	26	26
CDS_960	45	29	18	17
CDS_961	188	94	29	40
CDS_967	44	32	43	44
CDS_968	1	0	7	0
CDS_969	36	32	80	18
CDS_971	1	0	16	0
CDS_974	0	0	0	9
CDS_978	1	1	0	7
CDS_979	2	3	30	0
CDS_980	4	0	12	6
CDS_982	10	16	1	22
CDS_983	24	1	20	0
CDS_987	148	83	68	69
CDS_995	5	32	0	0
CDS_1003	5	8	12	4
CDS_1004	0	0	20	10
CDS_1005	0	0	10	0
CDS_1007	1	5	0	0
CDS_1010	0	0	12	0
CDS_1011	4	2	7	8
CDS_1012	6	2	7	0
CDS_1013	8	1	8	5
CDS_1014	181	173	193	135
CDS_1016	65	7	0	0
CDS_1022	64	46	1	14
CDS_1025	10	2	0	0
CDS_1027	0	4	0	0
CDS_1032	35	23	16	0
CDS_1034	16	11	0	19
CDS_1039	0	0	19	0
CDS_1041	11	6	0	0
CDS_1042	5	3	16	25
CDS_1043	1	8	0	0
CDS_1046	7	23	0	0
CDS_1047	0	7	0	7
CDS_1053	63	16	2	9
CDS_1054	0	8	0	0
CDS_1060	71	66	64	31
CDS_1065	0	0	20	4
CDS_1066	1	0	26	8
CDS_1072	62	56	19	9
CDS_1075	6	3	7	15
CDS_1082	0	4	0	12
CDS_1084	2	8	0	0
CDS_1086	0	0	58	0
CDS_1093	208	67	39	44
CDS_1095	6	3	0	10
CDS_1097	0	9	0	0
CDS_1098	26	22	7	7
CDS_1099	162	59	88	37
CDS_1101	0	0	35	0
CDS_1102	76	59	30	46
CDS_1103	97	53	87	59
CDS_1106	0	0	8	0
CDS_1107	3	0	0	5
CDS_1108	48	20	0	21
CDS_1110	64	44	0	9
CDS_1112	1	0	10	0
CDS_1113	92	32	20	56
CDS_1115	4	2	0	1
CDS_1118	0	0	0	10
CDS_1120	21	1	14	2
CDS_1122	11	1	0	0
CDS_1123	60	28	26	28
CDS_1125	231	161	131	104
CDS_1126	61	44	33	4
CDS_1128	0	0	2	0
CDS_1132	241	48	44	0
CDS_1139	8	3	9	10
CDS_1141	4	12	1	18
CDS_1142	9	10	2	19
CDS_1143	1	5	0	11
CDS_1144	225	190	79	53
CDS_1145	312	206	274	130
CDS_1146	15	41	12	9
CDS_1148	64	30	33	4
CDS_1153	4	6	0	13
CDS_1160	5	5	0	0
CDS_1162	0	1	16	0
CDS_1163	10	12	108	0
CDS_1166	5	4	4	9
CDS_1167	7	0	10	5
CDS_1170	21	15	0	0
CDS_1171	90	50	21	25
CDS_1174	38	36	24	35
CDS_1175	0	0	16	0
CDS_1188	1	1	56	25
CDS_1189	0	2	111	32
CDS_1191	0	0	16	11
CDS_1193	81	57	75	55
CDS_1199	0	1	0	12
CDS_1200	7	0	9	0
CDS_1202	1	2	37	4
CDS_1203	43	27	0	0
CDS_1204	32	19	16	0
CDS_1205	4	6	0	7
CDS_1206	1	0	8	0
CDS_1208	46	5	0	12
CDS_1210	238	191	109	39
CDS_1212	79	105	72	42
CDS_1215	0	9	0	20
CDS_1220	13	19	12	2
CDS_1221	509	76	11	25
CDS_1224	0	0	18	0
CDS_1225	0	0	42	21
CDS_1226	148	286	236	109
CDS_1232	11	2	9	8
