CDS_ID	length_bps
CDS_2	249
CDS_4	381
CDS_8	225
CDS_12	465
CDS_13	171
CDS_14	336
CDS_15	228
CDS_22	375
CDS_23	231
CDS_25	189
CDS_28	216
CDS_30	366
CDS_32	1425
CDS_33	489
CDS_34	5325
CDS_37	2901
CDS_42	1935
CDS_47	1254
CDS_48	801
CDS_49	723
CDS_54	681
CDS_55	393
CDS_56	876
CDS_61	1374
CDS_65	2088
CDS_66	318
CDS_73	420
CDS_75	255
CDS_76	525
CDS_80	576
CDS_81	348
CDS_93	150
CDS_95	252
CDS_96	498
CDS_97	171
CDS_100	201
CDS_102	426
CDS_104	591
CDS_107	645
CDS_111	291
CDS_119	249
CDS_120	396
CDS_121	252
CDS_122	78
CDS_126	744
CDS_130	336
CDS_132	849
CDS_134	753
CDS_135	519
CDS_136	180
CDS_137	636
CDS_139	219
CDS_141	555
CDS_142	348
CDS_144	330
CDS_149	990
CDS_153	519
CDS_155	630
CDS_156	327
CDS_157	528
CDS_158	285
CDS_160	618
CDS_161	219
CDS_162	225
CDS_163	153
CDS_164	405
CDS_166	666
CDS_167	522
CDS_168	207
CDS_169	207
CDS_182	228
CDS_185	333
CDS_187	294
CDS_198	840
CDS_201	105
CDS_205	294
CDS_207	402
CDS_210	318
CDS_213	504
CDS_217	117
CDS_219	336
CDS_227	213
CDS_235	234
CDS_240	327
CDS_242	306
CDS_243	309
CDS_246	294
CDS_252	348
CDS_254	507
CDS_255	435
CDS_261	990
CDS_263	198
CDS_276	351
CDS_280	285
CDS_283	516
CDS_286	225
CDS_290	339
CDS_293	255
CDS_297	234
CDS_302	270
CDS_307	162
CDS_308	222
CDS_312	891
CDS_313	135
CDS_314	198
CDS_317	219
CDS_320	204
CDS_324	234
CDS_328	252
CDS_332	207
CDS_334	219
CDS_338	381
CDS_343	204
CDS_351	345
CDS_357	285
CDS_359	246
CDS_361	132
CDS_362	315
CDS_363	345
CDS_365	294
CDS_371	543
CDS_372	300
CDS_376	201
CDS_387	246
CDS_389	369
CDS_395	234
CDS_398	216
CDS_399	213
CDS_401	219
CDS_404	495
CDS_407	270
CDS_408	348
CDS_416	198
CDS_417	234
CDS_419	213
CDS_423	354
CDS_428	273
CDS_439	207
CDS_440	537
CDS_448	126
CDS_450	267
CDS_453	270
CDS_455	294
CDS_457	213
CDS_459	210
CDS_460	279
CDS_468	165
CDS_470	279
CDS_471	354
CDS_472	285
CDS_473	192
CDS_474	258
CDS_480	1473
CDS_482	396
CDS_486	252
CDS_487	228
CDS_489	210
CDS_495	192
CDS_502	393
CDS_504	291
CDS_505	231
CDS_509	222
CDS_510	201
CDS_511	258
CDS_525	225
CDS_528	228
CDS_537	222
CDS_543	219
CDS_547	144
CDS_549	207
CDS_551	252
CDS_552	282
CDS_558	309
CDS_559	237
CDS_565	261
CDS_566	219
CDS_570	204
CDS_572	240
CDS_574	201
CDS_577	1821
CDS_578	543
CDS_579	192
CDS_588	1368
CDS_589	255
CDS_590	492
CDS_593	561
CDS_595	543
CDS_596	291
CDS_600	192
CDS_601	396
CDS_607	393
CDS_610	447
CDS_611	756
CDS_612	456
CDS_615	291
CDS_616	813
CDS_619	1011
CDS_620	204
CDS_621	879
CDS_627	1413
CDS_628	297
CDS_629	381
CDS_630	270
CDS_641	747
CDS_642	573
CDS_643	939
CDS_644	1839
CDS_645	120
CDS_646	525
CDS_647	1824
CDS_650	1029
CDS_651	126
CDS_652	828
CDS_658	285
CDS_659	411
CDS_660	1020
CDS_661	1020
CDS_662	222
CDS_663	549
CDS_664	1167
CDS_665	246
CDS_666	1344
CDS_667	306
CDS_668	573
CDS_669	615
CDS_670	1458
CDS_671	1920
CDS_680	498
CDS_681	513
CDS_682	231
CDS_685	309
CDS_686	684
CDS_687	1140
CDS_689	264
CDS_690	462
CDS_697	741
CDS_708	231
CDS_713	213
CDS_719	363
CDS_727	330
CDS_728	453
CDS_729	348
CDS_733	273
CDS_734	219
CDS_735	153
CDS_736	180
CDS_743	147
CDS_745	213
CDS_747	237
CDS_748	468
CDS_752	222
CDS_753	147
CDS_755	267
CDS_756	495
CDS_757	342
CDS_758	231
CDS_760	408
CDS_763	198
CDS_764	690
CDS_768	402
CDS_771	282
CDS_777	228
CDS_780	204
CDS_783	285
CDS_785	387
CDS_789	258
CDS_791	285
CDS_792	294
CDS_794	201
CDS_796	1014
CDS_799	312
CDS_803	582
CDS_804	213
CDS_809	312
CDS_811	180
CDS_816	558
CDS_820	198
CDS_821	504
CDS_823	456
CDS_824	207
CDS_825	429
CDS_831	240
CDS_834	195
CDS_839	267
CDS_843	393
CDS_845	450
CDS_846	228
CDS_850	480
CDS_853	276
CDS_857	369
CDS_861	204
CDS_863	519
CDS_865	237
CDS_867	375
CDS_872	1167
CDS_875	432
CDS_878	261
CDS_879	255
CDS_880	261
CDS_883	120
CDS_886	477
CDS_891	270
CDS_897	531
CDS_898	201
CDS_899	282
CDS_903	441
CDS_906	492
CDS_914	528
CDS_917	213
CDS_918	336
CDS_931	240
CDS_933	582
CDS_937	273
CDS_941	1068
CDS_946	249
CDS_948	333
CDS_949	360
CDS_958	348
CDS_959	468
CDS_960	288
CDS_961	372
CDS_967	459
CDS_968	327
CDS_969	288
CDS_971	231
CDS_974	165
CDS_978	264
